      7.1747e-01      6.9659e-01
      4.8221e-01      8.7606e-01
     -1.2752e-01     -9.9184e-01
     -4.8816e-01      8.7275e-01
     -9.8968e-01      1.4330e-01
     -8.9986e-01     -4.3618e-01
     -2.7882e-01     -9.6034e-01
      8.5750e-01      5.1448e-01
     -5.5678e-01     -8.3066e-01
      8.2879e-01     -5.5957e-01
     -6.9137e-01      7.2250e-01
      5.1749e-01     -8.5569e-01
      1.6293e-01     -9.8664e-01
      9.9119e-01      1.3242e-01
      4.9095e-01      8.7119e-01
     -8.9820e-01     -4.3959e-01
     -1.8265e-01      9.8318e-01
     -9.5878e-01     -2.8416e-01
      9.9410e-01      1.0850e-01
     -8.6651e-01     -4.9916e-01
      9.1864e-01      3.9509e-01
      2.9236e-02     -9.9957e-01
      1.0563e-01      9.9441e-01
      3.4881e-01      9.3719e-01
     -9.9909e-01      4.2548e-02
      3.7988e-02     -9.9928e-01
     -9.9142e-01      1.3071e-01
     -9.9935e-01      3.6060e-02
     -4.9576e-02      9.9877e-01
      6.7379e-02      9.9773e-01
     -9.8434e-01      1.7628e-01
