steps pressure_avg pressure_std
50 0.0406311 0
100 0.0435875 0.00295644
150 0.0504245 0.00704684
200 0.0539137 0.00608306
250 0.0537471 0.00471486
300 0.052968 0.00392771
350 0.0523455 0.00337739
400 0.052487 0.00292832
450 0.0527368 0.00259459
500 0.0535787 0.00246867
550 0.0534266 0.00223817
600 0.0535435 0.00204651
650 0.0537107 0.00188992
700 0.0534458 0.00176967
750 0.0548549 0.00216785
800 0.0547361 0.00203131
850 0.0548316 0.00191047
900 0.0545202 0.00182794
950 0.0544583 0.00173016
1000 0.0542302 0.00165714
1050 0.0538854 0.00161353
1100 0.053811 0.00154024
1150 0.053482 0.00150806
1200 0.0531986 0.00147141
1250 0.0529795 0.00142823
1300 0.0525881 0.00142693
1350 0.0524449 0.00138051
1400 0.0525519 0.00133458
1450 0.052598 0.00128856
1500 0.0525909 0.00124489
1550 0.0524013 0.00121891
1600 0.0523213 0.00118291
1650 0.0524263 0.0011513
1700 0.0522229 0.0011353
1750 0.05219 0.00110287
1800 0.0520668 0.00107886
1850 0.0519825 0.00105268
1900 0.052028 0.00102561
1950 0.0520626 0.000999565
2000 0.0520576 0.000974268
2050 0.0521173 0.00095208
2100 0.052286 0.00094433
2150 0.0520992 0.000940834
2200 0.0518764 0.000945815
2250 0.0516814 0.000944897
2300 0.0514277 0.00095834
2350 0.0514952 0.00094016
2400 0.0515328 0.000921131
2450 0.0516128 0.000905681
2500 0.0517015 0.000891799
2550 0.0517247 0.000874447
2600 0.0517711 0.000858717
2650 0.0517572 0.000842473
2700 0.0518655 0.000833781
2750 0.0518652 0.000818481
2800 0.0517231 0.000816192
2850 0.0516776 0.000803039
2900 0.0518256 0.000802841
2950 0.0518012 0.000789493
3000 0.0517789 0.000776544
3050 0.0517414 0.000764627
3100 0.0518248 0.000756794
3150 0.0519267 0.000751632
3200 0.0518611 0.000742704
3250 0.0518589 0.000731192
3300 0.0519072 0.000721646
3350 0.0519111 0.000710804
3400 0.0518414 0.000703731
